2024-10-03 10:44:42 - GPU Memory: 21242 MB, CPU Usage: 18.2%, RAM Usage: 26529 MB / 1030999 MB
2024-10-03 10:44:47 - GPU Memory: 21242 MB, CPU Usage: 18.2%, RAM Usage: 26522 MB / 1030999 MB
2024-10-03 10:44:53 - GPU Memory: 21242 MB, CPU Usage: 18.5%, RAM Usage: 26455 MB / 1030999 MB
2024-10-03 10:44:58 - GPU Memory: 21242 MB, CPU Usage: 18.6%, RAM Usage: 26504 MB / 1030999 MB
2024-10-03 10:45:03 - GPU Memory: 21242 MB, CPU Usage: 12.9%, RAM Usage: 26521 MB / 1030999 MB
2024-10-03 10:45:08 - GPU Memory: 21242 MB, CPU Usage: 17.2%, RAM Usage: 26511 MB / 1030999 MB
2024-10-03 10:45:14 - GPU Memory: 21242 MB, CPU Usage: 4%, RAM Usage: 26277 MB / 1030999 MB
2024-10-03 10:45:19 - GPU Memory: 21242 MB, CPU Usage: 18.1%, RAM Usage: 26493 MB / 1030999 MB
2024-10-03 10:45:24 - GPU Memory: 21242 MB, CPU Usage: 8.9%, RAM Usage: 26194 MB / 1030999 MB
2024-10-03 10:45:29 - GPU Memory: 21242 MB, CPU Usage: 18.7%, RAM Usage: 26503 MB / 1030999 MB
2024-10-03 10:45:35 - GPU Memory: 21242 MB, CPU Usage: 17.5%, RAM Usage: 26489 MB / 1030999 MB
2024-10-03 10:45:40 - GPU Memory: 21242 MB, CPU Usage: 0.3%, RAM Usage: 26205 MB / 1030999 MB
2024-10-03 10:45:45 - GPU Memory: 21242 MB, CPU Usage: 18.4%, RAM Usage: 26472 MB / 1030999 MB
2024-10-03 10:45:50 - GPU Memory: 21242 MB, CPU Usage: 17.8%, RAM Usage: 26490 MB / 1030999 MB
2024-10-03 10:45:56 - GPU Memory: 21242 MB, CPU Usage: 19.1%, RAM Usage: 26490 MB / 1030999 MB
2024-10-03 10:46:01 - GPU Memory: 21242 MB, CPU Usage: 18.1%, RAM Usage: 26510 MB / 1030999 MB
2024-10-03 10:46:06 - GPU Memory: 21242 MB, CPU Usage: 17.3%, RAM Usage: 26504 MB / 1030999 MB
2024-10-03 10:46:11 - GPU Memory: 21242 MB, CPU Usage: 10.9%, RAM Usage: 26207 MB / 1030999 MB
2024-10-03 10:46:16 - GPU Memory: 21242 MB, CPU Usage: 9%, RAM Usage: 26488 MB / 1030999 MB
2024-10-03 10:46:22 - GPU Memory: 21242 MB, CPU Usage: 17.9%, RAM Usage: 26506 MB / 1030999 MB
2024-10-03 10:46:27 - GPU Memory: 21242 MB, CPU Usage: 18.1%, RAM Usage: 26513 MB / 1030999 MB
2024-10-03 10:46:32 - GPU Memory: 21242 MB, CPU Usage: 3%, RAM Usage: 26401 MB / 1030999 MB
