2024-09-27 12:16:59 - GPU Memory: 1176 MB, CPU Usage: 2.9%, RAM Usage: 19516 MB / 64254 MB
2024-09-27 12:17:04 - GPU Memory: 1128 MB, CPU Usage: 2.9%, RAM Usage: 19499 MB / 64254 MB
2024-09-27 12:17:09 - GPU Memory: 1067 MB, CPU Usage: 2.9%, RAM Usage: 19489 MB / 64254 MB
2024-09-27 12:17:14 - GPU Memory: 1066 MB, CPU Usage: 2.9%, RAM Usage: 19329 MB / 64254 MB
2024-09-27 12:17:20 - GPU Memory: 1057 MB, CPU Usage: 2.9%, RAM Usage: 19350 MB / 64254 MB
2024-09-27 12:17:25 - GPU Memory: 1049 MB, CPU Usage: 2.9%, RAM Usage: 19358 MB / 64254 MB
2024-09-27 12:17:30 - GPU Memory: 1080 MB, CPU Usage: 2.9%, RAM Usage: 19306 MB / 64254 MB
2024-09-27 12:17:35 - GPU Memory: 1078 MB, CPU Usage: 2.9%, RAM Usage: 19310 MB / 64254 MB
2024-09-27 12:17:40 - GPU Memory: 1077 MB, CPU Usage: 2.9%, RAM Usage: 19319 MB / 64254 MB
2024-09-27 12:17:46 - GPU Memory: 1047 MB, CPU Usage: 2.9%, RAM Usage: 19300 MB / 64254 MB
2024-09-27 12:17:51 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19339 MB / 64254 MB
2024-09-27 12:17:56 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19333 MB / 64254 MB
2024-09-27 12:18:01 - GPU Memory: 1045 MB, CPU Usage: 2.9%, RAM Usage: 19334 MB / 64254 MB
2024-09-27 12:18:07 - GPU Memory: 1044 MB, CPU Usage: 2.9%, RAM Usage: 19335 MB / 64254 MB
2024-09-27 12:18:12 - GPU Memory: 1044 MB, CPU Usage: 2.9%, RAM Usage: 19329 MB / 64254 MB
2024-09-27 12:18:17 - GPU Memory: 1043 MB, CPU Usage: 2.9%, RAM Usage: 19336 MB / 64254 MB
2024-09-27 12:18:22 - GPU Memory: 1044 MB, CPU Usage: 2.9%, RAM Usage: 19259 MB / 64254 MB
2024-09-27 12:18:27 - GPU Memory: 1044 MB, CPU Usage: 2.9%, RAM Usage: 19340 MB / 64254 MB
2024-09-27 12:18:33 - GPU Memory: 1044 MB, CPU Usage: 2.9%, RAM Usage: 19327 MB / 64254 MB
2024-09-27 12:18:38 - GPU Memory: 1054 MB, CPU Usage: 2.9%, RAM Usage: 19345 MB / 64254 MB
2024-09-27 12:18:43 - GPU Memory: 1059 MB, CPU Usage: 2.9%, RAM Usage: 19336 MB / 64254 MB
2024-09-27 12:18:48 - GPU Memory: 1057 MB, CPU Usage: 2.9%, RAM Usage: 19343 MB / 64254 MB
2024-09-27 12:18:54 - GPU Memory: 1052 MB, CPU Usage: 2.9%, RAM Usage: 19312 MB / 64254 MB
2024-09-27 12:18:59 - GPU Memory: 1062 MB, CPU Usage: 2.9%, RAM Usage: 19044 MB / 64254 MB
2024-09-27 12:19:04 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19289 MB / 64254 MB
2024-09-27 12:19:09 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19306 MB / 64254 MB
2024-09-27 12:19:15 - GPU Memory: 1047 MB, CPU Usage: 2.9%, RAM Usage: 19296 MB / 64254 MB
2024-09-27 12:19:20 - GPU Memory: 1047 MB, CPU Usage: 2.9%, RAM Usage: 19305 MB / 64254 MB
2024-09-27 12:19:25 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19301 MB / 64254 MB
2024-09-27 12:19:30 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19299 MB / 64254 MB
2024-09-27 12:19:35 - GPU Memory: 1047 MB, CPU Usage: 2.9%, RAM Usage: 19302 MB / 64254 MB
2024-09-27 12:19:41 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19300 MB / 64254 MB
2024-09-27 12:19:46 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19293 MB / 64254 MB
2024-09-27 12:19:51 - GPU Memory: 1047 MB, CPU Usage: 2.9%, RAM Usage: 19287 MB / 64254 MB
2024-09-27 12:19:56 - GPU Memory: 1048 MB, CPU Usage: 2.9%, RAM Usage: 19222 MB / 64254 MB
2024-09-27 12:20:02 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19297 MB / 64254 MB
2024-09-27 12:20:07 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19295 MB / 64254 MB
2024-09-27 12:20:12 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19300 MB / 64254 MB
2024-09-27 12:20:17 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19296 MB / 64254 MB
2024-09-27 12:20:22 - GPU Memory: 1046 MB, CPU Usage: 2.9%, RAM Usage: 19032 MB / 64254 MB
2024-09-27 12:20:28 - GPU Memory: 1098 MB, CPU Usage: 2.9%, RAM Usage: 19336 MB / 64254 MB
2024-09-27 12:20:33 - GPU Memory: 1099 MB, CPU Usage: 2.9%, RAM Usage: 19334 MB / 64254 MB
2024-09-27 12:20:38 - GPU Memory: 1050 MB, CPU Usage: 2.9%, RAM Usage: 19079 MB / 64254 MB
